ref,location,subject,back_word_1,back_word_2,back_word_3,title
05f2b50c,953,iso,1548,1093,g,1
05f2b50c,992,iso,xima,21,890,1
05f2b50c,992,protein,plant,2467,1134,1
05f2b50c,1001,iso,2977,1134,2957,1
05f2b50c,1027,protein,2467,1134,2957,1
05f2b50c,1036,iso,1134,2957,1455,1
05f2b50c,1047,whey,rmulação,1,2582,1
05f2b50c,1111,protein,0,g,2467,1
05f2b50c,1157,iso,1548,1093,g,1
05f2b50c,1166,protein,1143,2957,1731,1
05f2b50c,1196,protein,plant,2467,1134,1
05f2b50c,1204,protein,1,2434,2986,1
05f2b50c,1205,iso,2977,1134,2957,1
05f2b50c,1236,iso,roteína,vegana,491,1
05f2b50c,1278,protein,0,g,2240,1
05f2b50c,1370,protein,1143,2957,1731,1
05f2b50c,1424,iso,651,2189,491,1
05f2b50c,1439,protein,428,1054,2541,1
05f2b50c,1466,protein,0,g,2240,1
05f2b50c,1510,whey,1928,1093,2299,1
05f2b50c,1515,protein,2299,1007,whey,1
05f2b50c,1523,iso,1007,whey,protein,1
05f2b50c,1544,protein,y,protein,isolate,1
05f2b50c,1605,protein,2779,3027,351,1
05f2b50c,1666,protein,1065,2137,1093,1
05f2b50c,1821,protein,iltração,155,724,1
05f2b50c,1839,protein,0,724,2576,1
05f2b50c,1892,protein,iltração,155,724,1
05f2b50c,1910,protein,0,724,2576,1
05f2b50c,2945,protein,1065,2299,1093,1
05f2b50c,3154,protein,xercício,1294,235,1
05f2b50c,3166,whey,235,2628,1,1
05f2b50c,3214,protein,rcício,1294,235,1
05f2b50c,3226,whey,235,2628,1,1
05f2b50c,3242,whey,2582,1054,2945,1
05f2b50c,3247,protein,1054,2945,1054,1
05f2b50c,3571,protein,gdasaude,651,br,1
05f2b50c,3627,whey,cle,mass,and,1
05f2b50c,3898,protein,0,0,doi,1
05f2b50c,3910,whey,0,0,cam,1
05f2b50c,3924,iso,2582,890,2945,1
05f2b50c,3933,whey,890,2945,1054,1
05f2b50c,3938,protein,2945,1054,1871,1
05f2b50c,3946,iso,1054,1871,1807,1
05f2b50c,3968,protein,0,1034,supplemental,1
05f2b50c,4024,whey,cle,mass,and,1
063432f9,29,vitamina c,g,2989,3287,1
063432f9,289,vitamina c,0,0,1,1
063432f9,790,vitamina c,0,0,1,1
063432f9,955,vitamina c,ógico,3011,569,1
063432f9,1103,vitamina c,0,2222,3311,1
063432f9,1210,vitamina c,0,0,890,1
063432f9,1479,vitamina c,2278,798,1714,1
063432f9,1769,vitamina c,0,0,1,1
063432f9,2094,vitamina c,0,0,1,1
063432f9,3082,vitamina c,0,0,1,1
063432f9,4361,vitamina c,2306,1495,1666,1
063432f9,4718,vitamina c,2628,2222,784,1
063432f9,5247,vitamina c,0,0,1,1
063432f9,5495,vitamina c,0,0,1,1
063432f9,6400,vitamina c,0,0,1,1
063432f9,6544,vitamina c,2783,1134,211,1
063432f9,6786,vitamina c,2628,2222,3309,1
063432f9,7293,vitamina c,2628,2222,784,1
063432f9,7553,vitamina c,0,0,1,1
063432f9,7802,vitamina c,3176,1004,896,1
063432f9,8067,vitamina c,2138,1004,149,1
063432f9,8497,vitamina c,0,0,1,1
063432f9,8832,vitamina c,1,1071,1048,1
063432f9,9477,vitamina c,3165,976,1,1
063432f9,9626,vitamina c,1,1441,890,1
063432f9,9734,vitamina c,1031,1059,2544,1
063432f9,9917,vitamina c,2334,2817,2222,1
063432f9,10208,vitamina c,3337,865,427,1
063432f9,11700,vitamina c,880,geowth,1093,1
06558c53,21,whey,0,1791,2583,1
06558c53,29,whey,942,1,2823,1
06558c53,34,concentrad,603,2583,whey,1
06558c53,53,whey,hey,protein,720,1
06558c53,58,concentrad,rotein,720,gold,1
06558c53,151,concentrad,scular,696,2369,1
06558c53,289,whey,2222,2615,3139,1
06558c53,385,whey,1219,2930,2222,1
06558c53,456,whey,2334,2957,2987,1
06558c53,457,whey,0,0,gold,1
06558c53,462,concentrad,0,gold,whey,1
06558c53,491,whey,y,721,2715,1
06558c53,496,concentrad,556,2715,g,1
06558c53,507,concentrad,scular,696,2369,1
06558c53,521,whey,0,1357,651,1
06558c53,637,whey,337,2879,1837,1
06558c53,642,concentrad,2879,1837,gold,1
06558c53,645,whey,2222,2615,3139,1
06558c53,812,whey,2334,2957,2987,1
